Ref,Campus ID,Preferred ,Last,Suffix,Sex,Hispanic,Hispanic Origin,Race,Primary Ethnicity,Phone ,Street,City,State,Zip,Country,App Center,Standing,First Gen,Legacy,Faculty Child,Tuition Remission,Submitted Date,Admit Flag,Non Admit Flag,Cancel Flag,Complete Date,Admit Date,Deny Date,Cancel Date,Deposit Date,Entry Term App,Applied to College,Admitted to College,Admitted to Major,Current Bin Name,Admit Reason,Deny Reason,Cancel Reason,School,CEEB,School City,School State,MU Feeder,Test Optional,Raw GPA,Recalc GPA,GPA Scale,GPA Type,Rigor,Essay,ACT Equivalent,Blue and Gold,Category,Cristo Rey,Jesuit,Organization Flag,Type,Staff Assigned,Physical Therapy Status,Athletic Training Status,Sport,FACHEX,Tuition Exchange,Honors,EOP,Twin,Campus Visit,Undocumented,Merit Award,ONE Created Date,ONE Submitted Date
765452175,006256951,,,,F,No,,White,White,,,,CA,92118-1314,United States,UGRD,Freshman,No,,None,,9/2/2022,,,,10/5/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Maybe?,,,,Coronado High School,050680,Coronado,CA,,Yes,3.52,3.52,4,Unweighted,3,2,,,High School,,,,Public,,,,,,,,,No,,,,,
288833587,006261169,,,,M,No,,Black or African AmericanWhite,Black or African American,,,,CO,81504-8696,United States,UGRD,Freshman,Yes,,None,,10/19/2022,,,,10/21/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Admit FRE,,,,Central High School,060690,Grand Jct,CO,,No,4,3.77,4,Weighted,5,3,21,,High School,,,,Public,,,,,,,,,No,,,,,
560274823,006266135,,,,F,No,,White,White,,,,IL,60062-7141,United States,UGRD,Freshman,Yes,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Education,Education,,To Be Entered TOPT FRE,,,,Glenbrook South High School,142078,Glenview,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
102341682,006266136,,,,F,No,,White,White,,,,WI,53222-4813,United States,UGRD,Freshman,No,Mother,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,App Received FRE,,,,Divine Savior Holy Angels High School DSHA,501350,Milwaukee,WI,Y,Yes,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
502785380,006261927,,,,F,No,,White,White,,,,IL,60451-9633,United States,UGRD,Freshman,No,,None,,10/23/2022,,,,10/25/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Lincoln-Way West High School,143171,New Lenox,IL,,No,3.74,3.74,4,Unweighted,,,27,,High School,,,,Public,,,,,,,,,No,Yes,,,,
532600674,006265263,,,,F,No,,White,White,,,,WI,53066-9040,United States,UGRD,Freshman,Yes,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Nursing,Nursing,,To Be Entered FRE,,,,Oconomowoc High School,501680,Oconomowoc,WI,Y,No,,,,,,,,Former Blue,High School,,,,Public,,,,,,,,,No,,,,,
520613514,006258349,,,,M,No,,White,White,,,,IL,60103-5061,United States,UGRD,Freshman,Yes,,None,,9/30/2022,,,,10/3/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Review Deny,,,,Saint Francis Preparatory High School,144383,Wheaton,IL,Y,Yes,1.98,1.98,4,Unweighted,,,,Former Blue,High School,,,,Catholic,,,,,,,,,No,,,,,
696964101,006265264,,,,F,No,,,Not Provided,,,,WI,53402-4569,United States,UGRD,Freshman,No,Father,None,,10/31/2022,,,,11/1/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,William Horlick High School,501930,Racine,WI,,No,4,4,4,Unweighted,,,25,,High School,,,,Public,,,,,,,,,No,,,,,
943412115,006256442,,,,F,No,,White,White,,,,IL,60515-1472,United States,UGRD,Freshman,Yes,,None,,8/17/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,App Received FRE,,,,Downers Grove North High School,141630,Downers Grove,IL,,No,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
069316339,006257845,,,,F,No,,White,White,,,,WI,54949-8831,United States,UGRD,Freshman,Yes,,None,,9/24/2022,,,,9/27/2022,,,,,2023 August (Fall Semester),Nursing,Nursing,,Maybe?,,,,Little Wolf High School,501180,Manawa,WI,,Yes,3.55,3.62,4,Weighted,2,3,,,High School,,,,Public,,,,,,,,,No,,,,,
